전공명,강의명
인문콘텐츠학부 문헌정보학전공,정보시스템구축론
인문콘텐츠학부 문헌정보학전공,데이터프로그래밍기초
인문콘텐츠학부 문헌정보학전공,정보자원목록론
인문콘텐츠학부 문헌정보학전공,도서관정보센터실습
인문콘텐츠학부 문헌정보학전공,데이터베이스시스템
인문콘텐츠학부 문헌정보학전공,데이터리터러시
인문콘텐츠학부 문헌정보학전공,전자책과디지털콘텐츠
인문콘텐츠학부 문헌정보학전공,정보이용과이용자
인문콘텐츠학부 문헌정보학전공,문헌정보기획캡스톤디자인
인문콘텐츠학부 문헌정보학전공,미디어와디지털리터러시
아시아·중동어문학부 아랍지역학전,기초아랍어
아시아·중동어문학부 아랍지역학전,아랍학입문
아시아·중동어문학부 아랍지역학전,초급아랍어회화2
아시아·중동어문학부 아랍지역학전,아랍어문법2
아시아·중동어문학부 아랍지역학전,기초아랍어회화
아시아·중동어문학부 아랍지역학전,아랍역사
아시아·중동어문학부 아랍지역학전,중급아랍어강독
아시아·중동어문학부 아랍지역학전,중동경제
아시아·중동어문학부 아랍지역학전,중급아랍어회화2
아시아·중동어문학부 아랍지역학전,아랍어교재연구및지도법
아시아·중동어문학부 아랍지역학전,아랍어논리및논술
아시아·중동어문학부 아랍지역학전,비즈니스아랍어
아시아·중동어문학부 아랍지역학전,실용아랍어2
아시아·중동어문학부 아랍지역학전,코란과이슬람법
아시아·중동어문학부 아랍지역학전,아랍어통번역입문
아시아·중동어문학부 아랍지역학전,아랍어작문
청소년지도·아동학부 청소년지도학,교육행정론
청소년지도·아동학부 청소년지도학,인간관계론
청소년지도·아동학부 청소년지도학,청소년지도방법론
청소년지도·아동학부 청소년지도학,상담이론과실제
청소년지도·아동학부 청소년지도학,가족상담
청소년지도·아동학부 청소년지도학,청소년기관실습Ⅱ
청소년지도·아동학부 청소년지도학,청소년기관실습Ⅰ
청소년지도·아동학부 청소년지도학,발달심리
청소년지도·아동학부 청소년지도학,청소년지도사례연구
청소년지도·아동학부 청소년지도학,진로상담
청소년지도·아동학부 청소년지도학,청지취업세미나
청소년지도·아동학부 청소년지도학,청소년프로그램개발과평가
청소년지도·아동학부 청소년지도학,청소년문제와보호
문예창작학과,미디어콘텐츠의이해
문예창작학과,시의이해
문예창작학과,소설의이해
문예창작학과,내러티브의이론과실제
문예창작학과,드라마의이해
문예창작학과,시창작의실제1
문예창작학과,소설창작의실제1
문예창작학과,소설창작특강1
문예창작학과,시창작특강1
문예창작학과,출판콘텐츠디자인
문예창작학과,시적상상력과이미지
문예창작학과,극적상상력과스토리텔링
문예창작학과,마이스토리창작의실제
문예창작학과,비평창작의실제
청소년지도·아동학부 아동학전공,보육실습
청소년지도·아동학부 아동학전공,아동학개론
청소년지도·아동학부 아동학전공,영유아발달
청소년지도·아동학부 아동학전공,아동문학교육
청소년지도·아동학부 아동학전공,영유아사회정서지도
청소년지도·아동학부 아동학전공,유아교육론
청소년지도·아동학부 아동학전공,아동관찰및행동연구
청소년지도·아동학부 아동학전공,아동권리와복지
청소년지도·아동학부 아동학전공,아동상담
청소년지도·아동학부 아동학전공,언어지도
청소년지도·아동학부 아동학전공,유아언어교육
청소년지도·아동학부 아동학전공,아동과학지도
청소년지도·아동학부 아동학전공,유아과학교육
청소년지도·아동학부 아동학전공,보육정책론
청소년지도·아동학부 아동학전공,아동생활지도
청소년지도·아동학부 아동학전공,아동복지론
청소년지도·아동학부 아동학전공,유아교육논리및논술
청소년지도·아동학부 아동학전공,영유아교수방법
공공인재학부 행정학전공,행정학의이해(eng)
공공인재학부 행정학전공,리더십과조직행동(eng)
공공인재학부 행정학전공,감성과현대행정(eng)
공공인재학부 행정학전공,시민사회와행정
공공인재학부 행정학전공,행정조직론
공공인재학부 행정학전공,정책연구
공공인재학부 행정학전공,사회복지학개론
공공인재학부 행정학전공,환경정책론
공공인재학부 행정학전공,문화정책론
공공인재학부 행정학전공,공기업론
공공인재학부 행정학전공,행정법1
공공인재학부 행정학전공,사회복지행정론
공공인재학부 행정학전공,재정학
공공인재학부 행정학전공,정부규제
공공인재학부 행정학전공,사회복지정책론
공공인재학부 행정학전공,사회복지조사론
공공인재학부 행정학전공,사회조사방법론Ⅱ
공공인재학부 행정학전공,재난안전정책
공공인재학부 행정학전공,사회조사방법론Ⅰ
공공인재학부 행정학전공,스마트행정
공공인재학부 정치외교학전공,정치학개론
공공인재학부 정치외교학전공,국제정치론
공공인재학부 정치외교학전공,국제기구론
공공인재학부 정치외교학전공,국제정치경제론
공공인재학부 정치외교학전공,비교정치론
공공인재학부 정치외교학전공,여성정치론
공공인재학부 정치외교학전공,외교정책론
공공인재학부 정치외교학전공,북한정치사
공공인재학부 정치외교학전공,국제정치와정의
공공인재학부 정치외교학전공,미디어와정치이론
공공인재학부 정치외교학전공,선거론
공공인재학부 정치외교학전공,근대정치사상
공공인재학부 정치외교학전공,유럽연합정치학입문
공공인재학부 정치외교학전공,러시아정치사
공공인재학부 정치외교학전공,국제분쟁의이해
경상·통계학부 경제학전공,경제통계
경상·통계학부 경제학전공,시장및기업이론
경상·통계학부 경제학전공,국민경제론
경상·통계학부 경제학전공,인공지능과경제
경상·통계학부 경제학전공,경제수학
경상·통계학부 경제학전공,응용계량경제학
경상·통계학부 경제학전공,한국경제사
경상·통계학부 경제학전공,조세와회계
경상·통계학부 경제학전공,국제경제학
경상·통계학부 경제학전공,화폐와금융
경상·통계학부 경제학전공,산업조직과기업행태
경상·통계학부 경제학전공,경제성장과발전
경상·통계학부 경제학전공,계량경제학
경상·통계학부 경제학전공,기업금융론
경상·통계학부 경제학전공,금융상품론
경상·통계학부 경제학전공,국제경제와다국적기업
경상·통계학부 경제학전공,법과경제
경상·통계학부 경제학전공,전략과정보
디지털미디어학부,미디어의이해
디지털미디어학부,커뮤니케이션이론
디지털미디어학부,글로벌커뮤니케이션
디지털미디어학부,뉴미디어저널리즘
디지털미디어학부,디지털기사작성법
디지털미디어학부,뉴스쟁점분석
디지털미디어학부,디지털영상편집
디지털미디어학부,광고와마케팅
디지털미디어학부,취재.기사작성
디지털미디어학부,방송제작실습
디지털미디어학부,뉴미디어이론
디지털미디어학부,광고크리에이티브입문
디지털미디어학부,인간컴퓨터상호작용입문
디지털미디어학부,방송이론과기획
디지털미디어학부,디지털시대의미디어리터러시
디지털미디어학부,스피치커뮤니케이션과활용
디지털미디어학부,저널리즘연구
디지털미디어학부,미디어산업론
디지털미디어학부,미디어경영
디지털미디어학부,광고기획
디지털미디어학부,미디어조사방법론
디지털미디어학부,조직커뮤니케이션
디지털미디어학부,UI/UX입문
디지털미디어학부,PR원론
디지털미디어학부,디지털광고
디지털미디어학부,비지니스커뮤니케이션
디지털미디어학부,PR전략
디지털미디어학부,미디어엔터테인먼트
디지털미디어학부,문화간커뮤니케이션
법학과,법논리학1
법학과,민법입문
법학과,헌법1
법학과,형법총론2
법학과,행정법1
법학과,회사법1
법학과,지적재산권법개론
법학과,상법총칙
법학과,회사법2
법학과,특허법1
법학과,저작권법1
법학과,상표법
법학과,형사소송법
법학과,형사정책
법학과,채권총론
법학과,민사소송법1
법학과,행정법2
법학과,어음수표법
법학과,경제법
법학과,법과사회
법학과,일반사회교육과정연구
법학과,법학취업세미나
법학과,개별적근로관계법
법학과,형법연습
법학과,친족상속법
법학과,자본시장법
법학과,세법2
법학과,해상법
법학과,경찰행정법
법학과,빅데이터와법
법학과,민사집행법
법학과,사회적기업.협동조합법
법학과,법사학1
디지털콘텐츠디자인학과,디지털디자인
디지털콘텐츠디자인학과,3D그래픽스
디지털콘텐츠디자인학과,기초그래픽스
디지털콘텐츠디자인학과,뉴미디어이론
디지털콘텐츠디자인학과,UX설계
디지털콘텐츠디자인학과,콘텐츠분석연구
디지털콘텐츠디자인학과,가상컨텐츠디자인
디지털콘텐츠디자인학과,앱프로그래밍
디지털콘텐츠디자인학과,게임엔진2
디지털콘텐츠디자인학과,서비스기획
디지털콘텐츠디자인학과,캡스톤융합콘텐츠프로젝트
디지털콘텐츠디자인학과,캡스톤융합디자인프로젝트
디지털콘텐츠디자인학과,캡스톤게임엔진2
디지털콘텐츠디자인학과,캡스톤서비스프로젝트
디지털콘텐츠디자인학과,캡스톤게임프로젝트
융합소프트웨어학부 응용소프트웨어,패턴중심사고와프로그래밍
융합소프트웨어학부 응용소프트웨어,비즈니스모델링1
융합소프트웨어학부 응용소프트웨어,DB설계및구현1
융합소프트웨어학부 응용소프트웨어,데이터구조와알고리즘1
융합소프트웨어학부 응용소프트웨어,웹프로그래밍1
융합소프트웨어학부 응용소프트웨어,시스템프로그래밍1
융합소프트웨어학부 응용소프트웨어,분산프로그래밍1
융합소프트웨어학부 응용소프트웨어,클라우드컴퓨팅
융합소프트웨어학부 응용소프트웨어,모바일프로그래밍
융합소프트웨어학부 응용소프트웨어,팀프로젝트I
융합소프트웨어학부 응용소프트웨어,SW기술세미나1
융합소프트웨어학부 응용소프트웨어,컴퓨터보안
융합소프트웨어학부 응용소프트웨어,인공지능1
융합소프트웨어학부 데이터사이언스,컴퓨터아키텍쳐
융합소프트웨어학부 데이터사이언스,소셜인텔리젼스
공공인재학부 행정학전공,정책분석및평가
청소년지도·아동학부 청소년지도학,사회문제의발견과융합
디지털미디어학부,디미취업세미나
공공인재학부 정치외교학전공,소수자정치론
인문콘텐츠학부 영어영문학전공,언어와컴퓨터
화학·에너지융합학부 화학나노학전,무기화학2
화학·에너지융합학부 화학나노학전,물리화학2
화학·에너지융합학부 화학나노학전,컴퓨터화학
화학·에너지융합학부 화학나노학전,분석화학2
화학·에너지융합학부 화학나노학전,유기화학2
화학·에너지융합학부 화학나노학전,에너지소재디자인및작동원리
화학·에너지융합학부 화학나노학전,고분자화학기초
화학·에너지융합학부 화학나노학전,나노화학기초
화학·에너지융합학부 화학나노학전,에너지소재/촉매실험
화학·에너지융합학부 화학나노학전,기기분석:전기화학
화학·에너지융합학부 화학나노학전,물리화학실험2
화학·에너지융합학부 화학나노학전,유기화학실험2
화학·에너지융합학부 화학나노학전,분석화학실험
화학·에너지융합학부 화학나노학전,논문및세미나2
융합바이오학부 식품영양학전공,인체생리학
융합바이오학부 식품영양학전공,단체급식관리
융합바이오학부 식품영양학전공,영양화학및실험
융합바이오학부 식품영양학전공,식품위생관계법규
융합바이오학부 식품영양학전공,식품위생학
융합바이오학부 식품영양학전공,식사요법및실습
융합바이오학부 식품영양학전공,식생활관리
융합바이오학부 식품영양학전공,조리원리및실습
융합바이오학부 식품영양학전공,보건사업관리
융합바이오학부 식품영양학전공,식품재료학
융합바이오학부 식품영양학전공,영양교육및상담
융합바이오학부 식품영양학전공,융합바이오캡스톤디자인1
융합바이오학부 식품영양학전공,생애주기영양학
융합바이오학부 식품영양학전공,임상영양학
융합바이오학부 식품영양학전공,조사방법론
융합바이오학부 식품영양학전공,운동영양학
융합바이오학부 시스템생명과학전공,원핵생물실험2
융합바이오학부 시스템생명과학전공,생화학
융합바이오학부 시스템생명과학전공,미생물학2
융합바이오학부 시스템생명과학전공,분자유전학
융합바이오학부 시스템생명과학전공,약물학
융합바이오학부 시스템생명과학전공,진핵생물실험2
융합바이오학부 시스템생명과학전공,산업미생물학
융합바이오학부 시스템생명과학전공,면역학
융합바이오학부 시스템생명과학전공,생물공학
융합바이오학부 시스템생명과학전공,분자생물학2
융합바이오학부 시스템생명과학전공,생태학
융합바이오학부 시스템생명과학전공,식물발달생물학
융합바이오학부 시스템생명과학전공,바이오제약학
융합바이오학부 시스템생명과학전공,바이오창업마인드셋
융합바이오학부 시스템생명과학전공,융합바이오PBL1
융합바이오학부 시스템생명과학전공,유전공학
융합바이오학부 시스템생명과학전공,유전체정보학
융합바이오학부 시스템생명과학전공,생명정보학
융합바이오학부 시스템생명과학전공,바이오분석화학
융합바이오학부 시스템생명과학전공,생명과학특수연구2
융합바이오학부 시스템생명과학전공,R데이터분석
화학·에너지융합학부 화학나노학전,유기합성화학
인문콘텐츠학부 국어국문학전공,한국현대시특강
인문콘텐츠학부 국어국문학전공,기초한국어학의영역과주제
인문콘텐츠학부 국어국문학전공,국문학개론
인문콘텐츠학부 국어국문학전공,국어문법론
인문콘텐츠학부 국어국문학전공,현대시교육론
인문콘텐츠학부 국어국문학전공,고전소설의세계
인문콘텐츠학부 국어국문학전공,현대문화연구
인문콘텐츠학부 국어국문학전공,국어교재연구및지도법
인문콘텐츠학부 국어국문학전공,한국어단어형성의이해
인문콘텐츠학부 국어국문학전공,한국언어문화의형성과발전
인문콘텐츠학부 국어국문학전공,현대소설의전개와전망
인문콘텐츠학부 국어국문학전공,구비문학론
인문콘텐츠학부 국어국문학전공,표현이해교육론
인문콘텐츠학부 국어국문학전공,고전작가의이해
인문콘텐츠학부 영어영문학전공,영어듣기의이론과실제
인문콘텐츠학부 영어영문학전공,영미문학강독
인문콘텐츠학부 영어영문학전공,영어교육론
인문콘텐츠학부 영어영문학전공,ICT영어강독
인문콘텐츠학부 영어영문학전공,영어작문
인문콘텐츠학부 영어영문학전공,번역연습
인문콘텐츠학부 영어영문학전공,영어통사론
인문콘텐츠학부 영어영문학전공,영미소설
인문콘텐츠학부 영어영문학전공,미국문학사
인문콘텐츠학부 영어영문학전공,영어논리및논술
인문콘텐츠학부 영어영문학전공,언어와인접과학
인문콘텐츠학부 영어영문학전공,실무비즈니스영어
인문콘텐츠학부 영어영문학전공,영미문화
인문콘텐츠학부 영어영문학전공,실용영작문
인문콘텐츠학부 영어영문학전공,고급영문법
아시아·중동어문학부 중어중문학전,초급중국어회화2
아시아·중동어문학부 중어중문학전,중국인문기행
아시아·중동어문학부 중어중문학전,중국어학개론
아시아·중동어문학부 중어중문학전,중국어청취2
아시아·중동어문학부 중어중문학전,HSK어법중국어
아시아·중동어문학부 중어중문학전,중국의서사와스토리텔링
아시아·중동어문학부 중어중문학전,중국의시와노래
아시아·중동어문학부 중어중문학전,중국어교과교육론
아시아·중동어문학부 중어중문학전,중국어논리및논술
아시아·중동어문학부 중어중문학전,중국미디어콘텐츠
아시아·중동어문학부 중어중문학전,중국고문의이해
아시아·중동어문학부 중어중문학전,고급HSK중국어1
아시아·중동어문학부 중어중문학전,미래산업중국어
아시아·중동어문학부 중어중문학전,비즈니스중국어회화
아시아·중동어문학부 중어중문학전,중급중국어회화2
아시아·중동어문학부 중어중문학전,중국어문학주제탐구(캡스톤디자인)
아시아·중동어문학부 일어일문학전,초급일본어회화2
아시아·중동어문학부 일어일문학전,중급일본어회화2
아시아·중동어문학부 일어일문학전,전공기초일본어2
아시아·중동어문학부 일어일문학전,실용일본어작문
아시아·중동어문학부 일어일문학전,일본현대어문법
아시아·중동어문학부 일어일문학전,일문학의이해
아시아·중동어문학부 일어일문학전,일본애니메이션의이해
아시아·중동어문학부 일어일문학전,일본어독해2
아시아·중동어문학부 일어일문학전,일본인의언어생활
아시아·중동어문학부 일어일문학전,일본어논리및논술
아시아·중동어문학부 일어일문학전,JLPT일본어심화
아시아·중동어문학부 일어일문학전,일본문화사
아시아·중동어문학부 일어일문학전,일본어실무프리젠테이션
아시아·중동어문학부 일어일문학전,일본지역학세미나
아시아·중동어문학부 일어일문학전,미디어속의일본어일본문화
아시아·중동어문학부 일어일문학전,세계화시대의한일관계
인문콘텐츠학부 문헌정보학전공,정보학입문
인문콘텐츠학부 문헌정보학전공,도서관정보센터경영론
인문콘텐츠학부 문헌정보학전공,정보검색론
인문콘텐츠학부 문헌정보학전공,정보문화사
인문콘텐츠학부 문헌정보학전공,기록과아카이브
인문콘텐츠학부 문헌정보학전공,정보서비스론
인문콘텐츠학부 문헌정보학전공,문정취업세미나
인문콘텐츠학부 문헌정보학전공,콘텐츠큐레이션
인문콘텐츠학부 문헌정보학전공,정보자원분류론
인문콘텐츠학부 문헌정보학전공,텍스트마이닝
인문콘텐츠학부 문헌정보학전공,도서관과사회
인문콘텐츠학부 문헌정보학전공,네트워크분석
인문콘텐츠학부 문헌정보학전공,대학교육과대학도서관
인문콘텐츠학부 문헌정보학전공,AI시대의공공도서관
아시아·중동어문학부 아랍지역학전,아랍어문법1
아시아·중동어문학부 아랍지역학전,초급아랍어강독
아시아·중동어문학부 아랍지역학전,초급아랍어회화1
아시아·중동어문학부 아랍지역학전,중동정치
아시아·중동어문학부 아랍지역학전,실용아랍어1
아시아·중동어문학부 아랍지역학전,커뮤니케이션아랍어
아시아·중동어문학부 아랍지역학전,중급아랍어회화1
아시아·중동어문학부 아랍지역학전,아랍어교과교육론
아시아·중동어문학부 아랍지역학전,아랍어청해
아시아·중동어문학부 아랍지역학전,고급아랍어회화
아시아·중동어문학부 아랍지역학전,이슬람사회와할랄비즈니스
아시아·중동어문학부 아랍지역학전,아랍문화
아시아·중동어문학부 아랍지역학전,중동문화콘텐츠
아시아·중동어문학부 아랍지역학전,아랍어학개론
아시아·중동어문학부 아랍지역학전,시사아랍어
아시아·중동어문학부 아랍지역학전,아랍문학개론
청소년지도·아동학부 청소년지도학,청소년문화
청소년지도·아동학부 청소년지도학,청소년심리및상담
청소년지도·아동학부 청소년지도학,청소년교육론
청소년지도·아동학부 청소년지도학,특수아상담
청소년지도·아동학부 청소년지도학,심리검사
청소년지도·아동학부 청소년지도학,청소년활동
청소년지도·아동학부 청소년지도학,성격심리
청소년지도·아동학부 청소년지도학,청소년육성제도론
청소년지도·아동학부 청소년지도학,집단상담
청소년지도·아동학부 청소년지도학,청소년복지론
청소년지도·아동학부 청소년지도학,청소년지도담론
문예창작학과,소설창작론
문예창작학과,미디어콘텐츠의실제
문예창작학과,시창작론
문예창작학과,드라마창작론
문예창작학과,시창작의실제2
문예창작학과,소설창작의실제2
문예창작학과,비평의이해
문예창작학과,소설창작특강2
문예창작학과,시창작특강2
문예창작학과,출판콘텐츠디자인의실제
문예창작학과,소설창작과스토리텔링
문예창작학과,현대소설과서사적상상력
문예창작학과,현대시와신화
문예창작학과,현대드라마특강
청소년지도·아동학부 아동학전공,디지털산업과아동
청소년지도·아동학부 아동학전공,아동건강교육
청소년지도·아동학부 아동학전공,아동동작
청소년지도·아동학부 아동학전공,유아교육과정
청소년지도·아동학부 아동학전공,유아동작교육
청소년지도·아동학부 아동학전공,부모교육론
청소년지도·아동학부 아동학전공,프로그램개발과평가
청소년지도·아동학부 아동학전공,놀이지도
청소년지도·아동학부 아동학전공,정신건강
청소년지도·아동학부 아동학전공,보육교사론
청소년지도·아동학부 아동학전공,아동수학지도
청소년지도·아동학부 아동학전공,유아수학교육
청소년지도·아동학부 아동학전공,아동미술
청소년지도·아동학부 아동학전공,유아미술교육
청소년지도·아동학부 아동학전공,영유아보육프로그램개발과평가
청소년지도·아동학부 아동학전공,인간행동과사회환경
청소년지도·아동학부 아동학전공,특수아동이해
청소년지도·아동학부 아동학전공,유아교육교재연구및지도법
청소년지도·아동학부 아동학전공,아동학과진로취업세미나
공공인재학부 행정학전공,행정과창업(honor)
공공인재학부 행정학전공,비영리조직(eng)
공공인재학부 행정학전공,정책학원론
공공인재학부 행정학전공,자원봉사론
공공인재학부 행정학전공,조직행태론
공공인재학부 행정학전공,행정관리론
공공인재학부 행정학전공,기획론
공공인재학부 행정학전공,공동체활성화론
공공인재학부 행정학전공,전자정부론
공공인재학부 행정학전공,과학기술정책론
공공인재학부 행정학전공,행정책임론
공공인재학부 행정학전공,사회복지현장실습
공공인재학부 행정학전공,도시행정론
공공인재학부 행정학전공,행정법2
공공인재학부 행정학전공,사회복지실천기술론
공공인재학부 행정학전공,사회복지법제와실천
공공인재학부 행정학전공,정부예산의이해
공공인재학부 행정학전공,국가와사회
공공인재학부 행정학전공,정책갈등과윤리
공공인재학부 행정학전공,지방행정과거버넌스
공공인재학부 정치외교학전공,영화와정치
공공인재학부 정치외교학전공,한반도와세계정치
공공인재학부 정치외교학전공,국제정치이론과동북아
공공인재학부 정치외교학전공,국제정치이론원서강의
공공인재학부 정치외교학전공,고중세정치사상
공공인재학부 정치외교학전공,현대정치사상
공공인재학부 정치외교학전공,국제안보론
공공인재학부 정치외교학전공,북한의대외관계
공공인재학부 정치외교학전공,국제정치학의연습
공공인재학부 정치외교학전공,현대한국정치론
공공인재학부 정치외교학전공,정치학방법론
공공인재학부 정치외교학전공,국제정치의변화와논쟁
공공인재학부 정치외교학전공,혐오와차별의정치학
경상·통계학부 경제학전공,경제빅데이터분석
경상·통계학부 경제학전공,창업과혁신
경상·통계학부 경제학전공,경제이론사
경상·통계학부 경제학전공,재정학
경상·통계학부 경제학전공,노동경제와노사관계
경상·통계학부 경제학전공,경제학세미나
경상·통계학부 경제학전공,국제금융론
경상·통계학부 경제학전공,회계와경제
경상·통계학부 경제학전공,금융위험관리론
경상·통계학부 경제학전공,세계경제론
경상·통계학부 경제학전공,한국경제론
경상·통계학부 경제학전공,금융시장과데이터분석
디지털미디어학부,디지털미디어기술사회
디지털미디어학부,광고PR과설득커뮤니케이션
디지털미디어학부,광고학개론
디지털미디어학부,영상커뮤니케이션이론
디지털미디어학부,긍정심리학과커뮤니케이션
디지털미디어학부,휴먼커뮤니케이션과테크놀로지
디지털미디어학부,미디어정치캠페인
디지털미디어학부,SNS활용커뮤니케이션전략
디지털미디어학부,데이터저널리즘
디지털미디어학부,개인미디어제작실습
디지털미디어학부,디지털마케팅의전략적접근
디지털미디어학부,미디어심리학
디지털미디어학부,디지털플랫폼비즈니스와경영
디지털미디어학부,웹매거진제작
디지털미디어학부,미디어특강
디지털미디어학부,미디어데이터의이해
